productType,variantId,sku,prices,tax,categories,images,name.en,description.en,slug.en,metaTitle.en,metaDescription.en,metaKeywords.en,name.de,description.de,slug.de,metaTitle.de,metaDescription.de,metaKeywords.de,name.it,description.it,slug.it,metaTitle.it,metaDescription.it,metaKeywords.it,creationDate,articleNumberManufacturer,articleNumberMax,matrixId,baseId,designer,madeInItaly,completeTheLook,commonSize,size,color,colorFreeDefinition.en,details.en,colorFreeDefinition.de,details.de,colorFreeDefinition.it,details.it,style,gender,season,isOnStock,isLook,lookProducts,seasonNew
main,1,DF001,EUR 10;US-USD 10;DE-EUR 8;IT-EUR 8;GB-EUR 8,standard,Dog>Dog Food,https://imgur.com/51eU1Cb.png;https://imgur.com/CBywwxR.png;https://imgur.com/yavIY3Z.png,Brit premium food,"Brit premium-premium food with a high meat content of 30%, including chicken meat 14%. The composition is perfectly balanced and meets all needs depending on age and breed.",brit-dog-food,,,,,,,,,,,,,,,,,T2340,11111,ABC901,11111,Brit,no,,,large,brown,brown,Shelf life - 18 months. Energy value per 1 kg: 3820 kcal/15994 KJ.,,,,,,Puppy,,TRUE,,,
main,1,DF002,EUR 12;US-USD 12;DE-EUR 10;IT-EUR 10;GB-EUR 10,standard,Dog>Dog Food,https://imgur.com/ArA6P0P.jpeg;https://imgur.com/yavIY3Z.jpeg,Honey Fleshier Food,Strong bones and healthy teeth healthy skin and shiny hair healthy digestion.,honey-dog-food,,,,,,,,,,,,,,,,,T2341,11112,ABC902,11112,Honey,no,,,medium,brown,brown,"Composition: dehydrated turkey meat, rice, chicken fat, beet pulp, flaxseed, hydrolyzed chicken liver, yeast, minerals and vitamins",,,,,,Adult,,TRUE,,,
main,1,DF003,EUR 15;US-USD 15;DE-EUR 12;IT-EUR 12;GB-EUR 12,standard,Dog>Dog Food,https://imgur.com/2fw8giw.png;https://imgur.com/QbsaECP.png,Gold's dog feed for sensitive dogs,"The mono-protein food is suitable for dogs suffering from food intolerance or sensitive digestive system. Careful processing retains maximum taste and nutritional properties. Feed has an optimal ratio of protein, complex slow carbohydrates and fats",golds-dog-food,,,,,,,,,,,,,,,,,T2342,11113,ABC903,11113,Gold,no,,,medium,brown,brown,With turkey and rice Nero Gold Super Premium Sensitive Turkey 2500 g.,,,,,,Adult,,TRUE,,,
main,1,DF004,EUR 18;US-USD 18;DE-EUR 15;IT-EUR 15;GB-EUR 15,standard,Dog>Dog Food,https://imgur.com/1CLjYgj.png;https://imgur.com/mqAo4Rh.png;https://imgur.com/E26ZEzs.png,Monge Dog Speciality Mini,Nutrient-rich food for puppies.Dry food for dogs is basic food. This is option number one for storage and meals. The feeding rate is indicated on the package.,monge-dog-food,,,,,,,,,,,,,,,,,T2343,11114,ABC904,11114,Monge,no,,,medium,brown,brown,"For puppies, lambs/ris/cartophel, 2.5 kg.",,,,,,Adult,,TRUE,,,
main,1,DF005,EUR 12;US-USD 14;DE-EUR 12;IT-EUR 13;GB-EUR 12,standard,Dog>Dog Food,https://imgur.com/Q8zwOj9.jpeg,Royal Canin Medium,"Royal Canin product Medium puppy is designed for mid-breed puppies (adult dog weight 11 to 25 kg) aged 2 to 12 months. Thanks to the high protein content of Royal Canin Medium puppy supports the harmonious development of the puppy, the growth of its bones and muscles during a relatively short growth phase.",royal-dog-food,,,,,,,,,,,,,,,,,T2344,11115,ABC905,11115,Canin,no,,,medium,brown,brown,"For puppies, 2-12 months, 3 kg Royal Canin",,,,,,Puppy,,TRUE,,,
main,1,DT001B0,EUR 4;US-USD 4;DE-EUR 4;IT-EUR 4;GB-EUR 4,standard,Dog>Dog Toys,https://imgur.com/i9Tc3h1.png;https://imgur.com/AO0t17y.png;https://imgur.com/sj11azA.png;https://imgur.com/mNla5f1.png,Flying Rings,"Get ready for endless fun and excitement with our Flying Ring Dog Toy! Made with safe and non-toxic materials, this flying disc is perfect for keeping your pet happy, active, and entertained.",flying-dog-toys-green,,,,,,,,,,,,,,,,,T2345,11116,ABC906,11116,EVAGOLD,no,,,medium,green,green,Large breeds,,,,,,Puppy,,TRUE,,,
main,1,DT002B0,EUR 3;US-USD 3;DE-EUR 3;IT-EUR 3;GB-EUR 3,standard,Dog>Dog Toys,https://imgur.com/nmlJlal.png;https://imgur.com/0MqE6cP.png,Balls Interactive Rubber,"Stimulate your dog mentally-the side troughs and hollow center allow you to put in snacks or other small snacks. As a reward for finding delicious food, dogs challenge their intelligence, burn extra energy, and prevent mischief.",balls-dog-toys-green,,,,,,,,,,,,,,,,,T2346,11117,ABC907,11117,EVAGOLD,no,,,small,green,green,For puppies,,,,,,All,,TRUE,,,
main,1,DT003B0,EUR 2 ;US-USD 2;DE-EUR 2;IT-EUR 2;GB-EUR 2,standard,Dog>Dog Toys,https://imgur.com/f9sZHRl.png;https://imgur.com/Iz1l4qG.png,Squeak Screaming Chicken,"Squeaky rubber chicken is also a interactive dog toy, increase the intimacy between you and your dog.squeaky chew toy for your lovely pet to play. Material: Rubber",squeak-dog-toys-small,,,,,,,,,,,,,,,,,T2347,11118,ABC908,11118,EVAGOLD,no,,,small,yellow,yellow,For puppies,,,,,,Puppy,,TRUE,,,
main,1,DT004,EUR 7;US-USD 7;DE-EUR 7;IT-EUR 7;GB-EUR 7,standard,Dog>Dog Toys,https://imgur.com/2jn1eF7.png,Durable Braid Rope,"The Cotton Rope Dog Toy can help floss dogs’ teeth and gums and improve dental hygiene. As they chew to play and also satisfy their natural instinct of chew to correct bad biting behaviour and prevent chewing damage of furniture, mats and shoes.",durable-dog-toys,,,,,,,,,,,,,,,,,T2348,11119,ABC909,11119,EVAGOLD,no,,,small,white,white,For dogs up to 35 lbs,,,,,,Adult,,TRUE,,,
main,1,DT005,EUR 6;US-USD 6;DE-EUR 6;IT-EUR 6;GB-EUR 6,standard,Dog>Dog Toys,https://imgur.com/uDh1eVV.png,Nylabone Teething Rings,"The Puppy Teething Rings chew toy is made with soft, textured, puppy-friendly material to satisfy the chewing needs of teething pups and encourages positive chewing habits from a young age.",nylabone-dog-toys,,,,,,,,,,,,,,,,,T2349,11120,ABC9010,11120,ChewsBest,no,,,small,green,green,For dogs up to 35 lbs,,,,,,Puppy,,TRUE,,,
main,1,DT006,EUR 5;US-USD 5;DE-EUR 5;IT-EUR 5;GB-EUR 5,standard,Dog>Dog Toys,https://imgur.com/8B2OV9f.png;https://imgur.com/NEHILvc.png,Petstages,"The ORKA material is chewy which keeps a dog's interest and satisfies his desire to gnaw. The toys bounce and float, making if fun to throw, chase and retrieve.",petstages-dog-toys,,,,,,,,,,,,,,,,,T2350,11121,ABC9011,11121,ChewsBest,no,,,small,blue,blue,"The ORKA Bone is the perfect shape to chew, carry and chase!;",,,,,,Adult,,TRUE,,,
main,1,DT008,EUR 10;US-USD 10;DE-EUR 10;IT-EUR 10;GB-EUR 10,standard,Dog>Dog Toys,https://imgur.com/GpAItWf.png;https://imgur.com/vNU6AIt.png,Flying Disc-cleaning,"Dog toys can not only enhance the relationship between the pet and owners, but also relieve boredom and relieve pet's stress and loneliness, let the pet enjoy happy.",disc-dog-toys,,,,,,,,,,,,,,,,,T2351,11122,ABC9013,11122,TOYSGREEN,no,,,medium,red,red,"Material: Plastic Diameter: 18cm/7.09""",,,,,,Puppy,,TRUE,,,
main,1,DT009,EUR 6;US-USD 6;DE-EUR 6;IT-EUR 6;GB-EUR 6,standard,Dog>Dog Toys,https://imgur.com/ZzqrVLD.png;https://imgur.com/z3zVPrU.png,Toy «Hippo»,"Toy for dogs «Hippo» is a great new toy for your dog! Perfect for chewing, throwing, and cuddling, this soft squeaky toy will amuse your pet for hours of fun.",hippo-dog-toys,,,,,,,,,,,,,,,,,T2352,11123,ABC9014,11123,EVAGOLD,no,,,small,gray,gray,For puppies,,,,,,Puppy,,TRUE,,,
main,1,DT0010,EUR 8;US-USD 8;DE-EUR 8;IT-EUR 8;GB-EUR 8,standard,Dog>Dog Toys,https://imgur.com/FO6FGph.png,Toy «Monkey»,"Toy for dogs «Hippo» is a great new toy for your dog! Perfect for chewing, throwing, and cuddling, this soft squeaky toy will amuse your pet for hours of fun.",monkey-dog-toys,,,,,,,,,,,,,,,,,T2353,11124,ABC9015,11124,EVAGOLD,no,,,small,brown,brown,For puppies,,,,,,Puppy,,TRUE,,,
main,1,DA001B,EUR 13;US-USD 13;DE-EUR 13;IT-EUR 13;GB-EUR 13,standard,Dog>Dog Accessories,https://imgur.com/eoSqddo.png,Mason Cash 'Bone' Bowl,Made from stoneware for durability and stability.Keeps food and water cooler for longer.,bone-dog-accessories,,,,,,,,,,,,,,,,,T2354,11125,ABC9016,11125,TOYSGREEN,no,,,small,gray,gray,,,,,,,Adult,,TRUE,,,
main,1,DA002B,EUR 11;US-USD 11;DE-EUR 11;IT-EUR 11;GB-EUR 11,standard,Dog>Dog Accessories,https://imgur.com/ltyWs8Q.png,Diva' Ceramic Bowl,Aid your dog's digestion and keep them where you put them with the Ceramic  Diner Dog Bowls,diva-dog-accessories,,,,,,,,,,,,,,,,,T2355,11126,ABC9017,11126,PetHome,no,,,small,pink,pink,,,,,,,Puppy,,TRUE,,,
main,1,DA003B,EUR 17;US-USD 17;DE-EUR 17;IT-EUR 17;GB-EUR 17,standard,Dog>Dog Accessories,https://imgur.com/RyqixWT.png;https://imgur.com/mHDvNRx.png;https://imgur.com/g60ivzD.png,Bamboo and Ceramic Double Bowls,"Two delightfully stylish bowls in either blue or green in a rustic glazed finish, raised on a naural bamboo stand, the bowls are dishwasher safe for easy cleaning, while the bamboo wipes clean in case of enthusiastic diners.",bamboo-dog-accessories,,,,,,,,,,,,,,,,,T2356,11127,ABC9018,11127,PetHome,no,,,medium,blue,blue,,,,,,,Adult,,TRUE,,,
main,1,DA004,EUR 3;US-USD 3;DE-EUR 3;IT-EUR 3;GB-EUR 3,standard,Dog>Dog Accessories,https://imgur.com/RupTcvf.png,Birthday Rosette,"It's not every day that it's your dog's birthday, so help them celebrate in style with this bright and cheerful Birthday Rosette.",rossette-dog-accessories,,,,,,,,,,,,,,,,,T2357,11128,ABC9019,11128,SmallPet,no,,,small,white,white,,,,,,,Puppy,,TRUE,,,
main,1,DA005,EUR 13;US-USD 13;DE-EUR 13;IT-EUR 13;GB-EUR 13,standard,Dog>Dog Accessories,https://imgur.com/rFfW0Sr.png;https://imgur.com/lN7ky7b.png;https://imgur.com/rHCJQNp.png,Watercolour Flowers Bandana Multi,Style is simple and you can make your dog as stylish as you like with the Pets at Home Watercolour Flowers Dog Bandana.,bandana-dog-accessories,,,,,,,,,,,,,,,,,T2358,11129,ABC9020,11129,SmallPet,no,,,medium,yellow,yellow,,,,,,,Adult,,TRUE,,,
main,1,DA006,EUR 12;US-USD 14;DE-EUR 12;IT-EUR 13;GB-EUR 12,standard,Dog>Dog Accessories,https://imgur.com/1S2bDRq.png;https://imgur.com/QoIT8oB.png,Bow and Tie Set Collar Accessory,"Add a touch of personality to your cat's collar with this cute accessory, purrfect for those sassy felines that want to look good.",cute-dog-accessories,,,,,,,,,,,,,,,,,T2359,11130,ABC9021,11130,SmallPet,no,,,small,blue,blue,,,,,,,Adult,,TRUE,,,
main,1,DA007,EUR 7;US-USD 7;DE-EUR 7;IT-EUR 7;GB-EUR 7,standard,Dog>Dog Accessories,https://imgur.com/Z8HWFCJ.png;https://imgur.com/a4mzLS5.png,Self Warming Square Bed,"Wainwright's want the very best for you and your dog. Made with luxury fabrics and special finishing touches, their range of accessories are designed with style, quality and comfort in mind.",bed-dog-accessories-red,,,,,,,,,,,,,,,,,T2360,11131,ABC9022,11131,Nevis,no,,,large,gray,gray,,,,,,,All,,TRUE,,,
main,1,DA008,EUR 12;US-USD 14;DE-EUR 12;IT-EUR 13;GB-EUR 12,standard,Dog>Dog Accessories,https://imgur.com/PRKKWb9.png;https://imgur.com/wCTkEfh.png,Nevis Scalloped Dog Bed,"Wherever your adventure takes you, at 3 Peaks we know you want your dog to be prepared for the demands of an active lifestyle.",bed-dog-accessories-black,,,,,,,,,,,,,,,,,T2361,11132,ABC9023,11132,Nevis,no,,,large,red,red,,,,,,,All,,TRUE,,,
main,1,CF001,EUR 10;US-USD 10;DE-EUR 8;IT-EUR 8;GB-EUR 8,standard,Cat>Cat Food,https://imgur.com/aHrGvXT.png;https://imgur.com/sRyYkgP.png;https://imgur.com/NuCqRFp.png,Wet Ocean Feasts in Jelly 12x100g,"Felix cat food are tasty meals which look and smell so delicious, it is like food you might have cooked yourself.",felix-cat-food,,,,,,,,,,,,,,,,,T2362,11133,ABC9024,11133,Nevis,no,,,small,brown,brown,,,,,,,Kitty,,TRUE,,,
main,1,CF002,EUR 12;US-USD 12;DE-EUR 10;IT-EUR 10;GB-EUR 10,standard,Cat>Cat Food,https://imgur.com/YrE7dUS.png,Chunks in Jelly Cat Food 24x400g,"Complete Chunks in Jelly pouch is everything your cat needs, with no added artificial colours, flavours or preservatives. This Variety Selection supports healthy heart and eyes as well as a healthy immune system.",variety-cat-food,,,,,,,,,,,,,,,,,T2363,11134,ABC9025,11134,Felix,no,,,large,brown,brown,,,,,,,Adult,,TRUE,,,
main,1,CF003,EUR 15;US-USD 15;DE-EUR 12;IT-EUR 12;GB-EUR 12,standard,Cat>Cat Food,https://imgur.com/dEWSg5d.png;https://imgur.com/UruujLa.png,Whiskas Kitten (2-12 months) Dry,"Designed specifically for kittens, this dry food provides a complete and balanced diet to support their growth and development.",whiskas-cat-food,,,,,,,,,,,,,,,,,T2364,11135,ABC9026,11135,VarietyCat,no,,,medium,brown,brown,,,,,,,Kitty,,TRUE,,,
main,1,CT001,EUR 25;US-USD 25;DE-EUR 25;IT-EUR 25;GB-EUR 25,standard,Cat>Cat Toys,https://imgur.com/nUWTQJr.png;https://imgur.com/3wQDjg1.png,FroliCat Cheese Automatic Teaser,etSafe products are designed to improve the lives of pets around the world.,petstages-cat-toys,,,,,,,,,,,,,,,,,T2365,11136,ABC9027,11136,Whiskas,no,,,medium,brown,brown,,,,,,,Adult,,TRUE,,,
main,1,CT002,EUR 18;US-USD 18;DE-EUR 15;IT-EUR 15;GB-EUR 15,standard,Cat>Cat Toys,https://imgur.com/2P590vn.png,Petstages Tower of Tracks,Keep your kitty happy with this Petstages Tower of Tricks toy!,etSafe-cat-toys,,,,,,,,,,,,,,,,,T2366,11137,ABC9028,11137,PetKitty,no,,,medium,white,white,,,,,,,Adult,,TRUE,,,
main,1,CT003D,EUR 30;US-USD 30;DE-EUR 30;IT-EUR 30;GB-EUR 30,standard,Cat>Cat Toys,https://imgur.com/CB4XMwS.png,Willow's Scratch and Hide Cat Tunnel Toy,"For the scratcher in your family, this Cat Tunnel is ideal for keeping your furry friend entertained while they sink their claws into the irresistible cardboard.",tunnel-cat-toys,,,,,,,,,,,,,,,,,T2367,11138,ABC9029,11138,PetKitty,no,,,medium,yellow,yellow,,,,,,,All,,TRUE,,,
main,1,CT004,EUR 25;US-USD 25;DE-EUR 25;IT-EUR 25;GB-EUR 25,standard,Cat>Cat Toys,https://imgur.com/zwQHE71.png;https://imgur.com/lbb3s2O.png,Colourful Cat Teaser,"Your cat is sure to love this  Teaser Toy with its wand handle and soft, colourful tail",teaser-cat-toys,,,,,,,,,,,,,,,,,T2368,11139,ABC9030,11139,PetKitty,no,,,large,yellow,yellow,,,,,,,Kitty,,TRUE,,,
main,1,CT005,EUR 12;US-USD 14;DE-EUR 12;IT-EUR 13;GB-EUR 12,standard,Cat>Cat Toys,https://imgur.com/JIKF0sj.png;https://imgur.com/DKaHUuv.png,Catnip Squeak Bird,Help to create the perfect bond between you and your cat with this Catnip Squeak Bird Cat Toy.,bird-cat-toys,,,,,,,,,,,,,,,,,T2369,11140,ABC9031,11140,Felix,no,,,small,gray,gray,,,,,,,Kitty,,TRUE,,,
main,1,CA001,EUR 8;US-USD 8;DE-EUR 8;IT-EUR 8;GB-EUR 8,standard,Cat>Cat Accessories,https://imgur.com/9X7YjWh.png;https://imgur.com/gwIgUlV.png,Rabbit Cap for Cats,Your cat may (definitely) hate you for this but we think it's a risk worth taking!,rabbit-cat-accessories,,,,,,,,,,,,,,,,,T2370,11141,ABC9032,11141,CattyColor,no,,,small,orange,orange,,,,,,,All,,TRUE,,,
main,1,CA002,EUR 3;US-USD 3;DE-EUR 3;IT-EUR 3;GB-EUR 3,standard,Cat>Cat Accessories,https://imgur.com/PZ6jDIi.png;https://imgur.com/po7XFBe.png,Breakaway Cat Collar,Your kitty can be as stylish as the rest of the family!,sandstone-cat-accessories,,,,,,,,,,,,,,,,,T2371,11142,ABC9033,11142,CattyColor,no,,,medium,brown,brown,,,,,,,All,,TRUE,,,
main,1,CA003,EUR 12;US-USD 14;DE-EUR 12;IT-EUR 13;GB-EUR 12,standard,Cat>Cat Accessories,https://imgur.com/a5KttC7.png;https://imgur.com/uhsXE8f.png,Collar and Bowtie Set,Your cat might seem like an alien sometimes...but one thing that you both might just have in common : your love for SUSHI!,sushi-cat-accessories,,,,,,,,,,,,,,,,,T2372,11143,ABC9034,11143,CattyColor,no,,,medium,green,green,,,,,,,Adult,,TRUE,,,
main,1,CA004,EUR 33;US-USD 33;DE-EUR 33;IT-EUR 33;GB-EUR 33,standard,Cat>Cat Accessories,https://imgur.com/7A1zMIU.png,Cookies Bowtie Set,"What could be cuter than a cat (or a dog!) in a bow tie?  A cat in a Cookies + Milk Bow Tie, that's what!",cookies-cat-accessories,,,,,,,,,,,,,,,,,T2373,11144,ABC9035,11144,CattyColor,no,,,large,yellow,yellow,,,,,,,Adult,,TRUE,,,
main,1,FF001,EUR 13;US-USD 13;DE-EUR 13;IT-EUR 13;GB-EUR 13,standard,Fish>Fish Food,https://imgur.com/w9R2wGn.png;https://imgur.com/4BVadek.png,Love Coldwater Fish Food Pellets 70g,Providing a safe and suitable environment that allows your fish to flourish and thrive.,fish-food-lovefish,,,,,,,,,,,,,,,,,T2374,11145,ABC9036,11145,LoveFish,no,,,medium,brown,brown,,,,,,,Adult,,TRUE,,,
main,1,FF002,EUR 12;US-USD 14;DE-EUR 12;IT-EUR 13;GB-EUR 12,standard,Fish>Fish Food,https://imgur.com/e9ZArpm.png;https://imgur.com/4BVadek.png,Goldfish Fish Flake Food 25g,"This is a complete food, suitable for all Coldwater fish.",fish-food-goldfish,,,,,,,,,,,,,,,,,T2375,11146,ABC9037,11146,LoveFish,no,,,small,brown,brown,,,,,,,Adult,,TRUE,,,
main,1,FT001,EUR 37;US-USD 37;DE-EUR 37;IT-EUR 37;GB-EUR 37,standard,Fish>Fish Tanks,https://imgur.com/mf3AXay.png;https://imgur.com/zgJTOSJ.png,Vantage 94 Litre Aquarium,It uses a simple cartridge system which allows for the easiest of maintenance and excellent water clarity.,fish-tanks-fishone,,,,,,,,,,,,,,,,,T2376,11147,ABC9038,11147,LoveFish,no,,,large,white,white,,,,,,,Adult,,TRUE,,,
main,1,FT002,EUR 12;US-USD 14;DE-EUR 12;IT-EUR 13;GB-EUR 12,standard,Fish>Fish Tanks,https://imgur.com/8WnH0Yu.png;https://imgur.com/gUBT5hd.png,Aqua Aspire Glass Aquarium 55 Litre,Aqua One is a leading supplier of quality aquariums and accessories that not only deliver the best possible environment for fish but also add style and elegance to your home.,fish-tanks-aspire,,,,,,,,,,,,,,,,,T2377,11148,ABC9039,11148,AquaOne,no,,,medium,black,black,,,,,,,All,,TRUE,,,
main,1,FT003,EUR 33;US-USD 33;DE-EUR 33;IT-EUR 33;GB-EUR 33,standard,Fish>Fish Tanks,https://imgur.com/4jddq7I.png;https://imgur.com/i4wDcPA.png,Oakstyle Tank & Stand Urban 230 Litre,This is a leading supplier of quality aquariums and accessories that not only deliver the best possible environment for fish but also add style and elegance to your home.,fish-tanks-oakstyle,,,,,,,,,,,,,,,,,T2378,11149,ABC9040,11149,AquaOne,no,,,large,gray,gray,,,,,,,All,,TRUE,,,
main,1,FT004,EUR 33;US-USD 33;DE-EUR 33;IT-EUR 33;GB-EUR 33,standard,Fish>Fish Tanks,https://imgur.com/zt4BXRc.png,Ciano Nexus Diamond Aquarium 14 Litre,"This tank requires a fish tank heater to be converted for Tropical Fish, sold separately.",fish-tanks-ciano,,,,,,,,,,,,,,,,,T2379,11150,ABC9041,11150,BiOrb,no,,,small,gray,gray,,,,,,,All,,TRUE,,,
main,1,FT005,EUR 33;US-USD 33;DE-EUR 33;IT-EUR 33;GB-EUR 33,standard,Fish>Fish Tanks,https://imgur.com/d80uInJ.png,Tropical Aquarium Silver 30 Litre,"BiOrb design products which make fishkeeping accessible and enjoyable to all, They are constantly investing in and developing technology to make fishkeeping as simple as possible",fish-tanks-biOrb,,,,,,,,,,,,,,,,,T2380,11151,ABC9042,11151,BiOrb,no,,,medium,gray,gray,,,,,,,All,,TRUE,,,
main,1,BF001,EUR 13;US-USD 13;DE-EUR 13;IT-EUR 13;GB-EUR 13,standard,Bird>Bird Food,https://imgur.com/X2846v3.png;https://imgur.com/SRpSzsT.png,Wild Bird Food Peanuts,Wild Birds bring so much joy to your garden and they deserve the best food. That's why our experts have created tasty recipes that will keep your feathered friends flocking back to your garden all year round.,bird-food-peanuts,,,,,,,,,,,,,,,,,T2381,11152,ABC9043,11152,AquaOne,no,,,small,gray,gray,,,,,,,All,,TRUE,,,
main,1,BF002,EUR 12;US-USD 18;DE-EUR 13;IT-EUR 13;GB-EUR 13,standard,Bird>Bird Food,https://imgur.com/ryrcRk9.png;https://imgur.com/tUWTiJH.png,Little Bird Wild Bird Mealworms 75g,"Mealworms provide a highly nutritious, high energy all year round treat for a wide variety of garden birds.",bird-food-mealworms,,,,,,,,,,,,,,,,,T2382,11153,ABC9044,11153,AquaOne,no,,,medium,brown,brown,,,,,,,All,,TRUE,,,
main,1,BF003,EUR 18;US-USD 18;DE-EUR 13;IT-EUR 13;GB-EUR 13,standard,Bird>Bird Food,https://imgur.com/m5Nq3po.png,Peckish Complete Seed Mix Bird Food,Peckish believe in products that are naturally good both inside and out.,bird-food-peckish,,,,,,,,,,,,,,,,,T2383,11154,ABC9045,11154,AquaOne,no,,,small,brown,brown,,,,,,,All,,TRUE,,,
main,1,BC001,EUR 53;US-USD 53;DE-EUR 53;IT-EUR 53;GB-EUR 53,standard,Bird>Bird Cages,https://imgur.com/hi3vVZU.png;https://imgur.com/fxbDwVO.png,Cages Fun Virginia Small Bird Cage,"Suitable for Budgies, Canaries, Finches and Love Birds.",bird-cages-virginia,,,,,,,,,,,,,,,,,T2384,11155,ABC9046,11155,BirdPet,no,,,small,brown,brown,,,,,,,All,,TRUE,,,
main,1,BC002,EUR 22;US-USD 14;DE-EUR 12;IT-EUR 13;GB-EUR 12,standard,Bird>Bird Cages,https://imgur.com/W7PoI9B.png,Ferplast Furat Plus Rat Cage,The Furet Plus Rat Cage by Ferplast is the fun activity home individually designed for the needs of rats.,bird-cages-furat,,,,,,,,,,,,,,,,,T2385,11156,ABC9047,11156,BirdPet,no,,,medium,black,black,,,,,,,All,,TRUE,,,
main,1,BC003,EUR 22;US-USD 14;DE-EUR 12;IT-EUR 13;GB-EUR 12,standard,Bird>Bird Cages,https://imgur.com/H5owgu3.png,Seed Guard Nylon Mesh Bird Parrot,New brand with high quality.,bird-cages-guard,,,,,,,,,,,,,,,,,T2386,11157,ABC9048,11157,BirdPet,no,,,large,green,green,,,,,,,All,,TRUE,,,
main,1,BC004,EUR 22;US-USD 14;DE-EUR 12;IT-EUR 13;GB-EUR 12,standard,Bird>Bird Cages,https://imgur.com/adtIqvj.png,Bird Parrot Nest Soft Plush,Easy and portable to hang with the bilateral hooks.,bird-cages-soft,,,,,,,,,,,,,,,,,T2387,11158,ABC9049,11158,BirdPet,no,,,small,white,white,,,,,,,All,,TRUE,,,
main,1,BC005,EUR 18;US-USD 18;DE-EUR 13;IT-EUR 13;GB-EUR 13,standard,Bird>Bird Cages,https://imgur.com/gLscFKp.png,Bird Cage Blue,Metal bird cage on a plastic pallet with a retractable insert.,bird-food-cage-blue,,,,,,,,,,,,,,,,,T2388,11159,ABC9050,11159,BirdPet,no,,,large,blue,blue,,,,,,,All,,TRUE,,,
